country,region
Ireland,Western Europe
Albania,Southern Europe
Central African Rep.,Middle Africa
Barbados,Caribbean
Italy,Western Europe
Switzerland,Western Europe
Mauritania,Western Africa
Oman,Western Asia
Tanzania,Eastern Africa
Thailand,Southeast Asia
Haiti,Caribbean
Equatorial Guinea,Middle Africa
Guatemala,Central America
Iraq,Western Asia
Mali,Western Africa
Bolivia,South America
Kenya,Eastern Africa
Panama,Central America
"Macedonia, FYR",Eastern Europe
Austria,Western Europe
Fiji,Oceania
Cuba,Caribbean
Azerbaijan,Western Asia
"Korea, Rep.",Eastern Asia
Nicaragua,Central America
Lithuania,Eastern Europe
Saudi Arabia,Western Asia
Belarus,Eastern Europe
Lesotho,Southern Africa
Cape Verde,Western Africa
Eritrea,Eastern Africa
Uganda,Eastern Africa
South Africa,Southern Africa
Gabon,Middle Africa
Georgia,Western Asia
Estonia,Eastern Europe
Argentina,South America
Cambodia,Southeast Asia
Suriname,South America
Gambia,Western Africa
Japan,Eastern Asia
Mozambique,Eastern Africa
Norway,Northern Europe
Angola,Middle Africa
"Yemen, Rep.",Western Asia
Armenia,Western Asia
Costa Rica,Central America
Turkey,Western Asia
Moldova,Eastern Europe
Pakistan,Southern Asia
Vietnam,Southeast Asia
Spain,Western Europe
Syria,Western Asia
Uzbekistan,Western Asia
Swaziland,Southern Africa
Croatia,Western Europe
Solomon Islands,Oceania
Ghana,Western Africa
Finland,Northern Europe
Senegal,Western Africa
Bangladesh,Southern Asia
Guyana,South America
Ethiopia,Eastern Africa
Russia,Eastern Europe
Israel,Western Asia
Malaysia,Southeast Asia
Kuwait,Western Asia
Malta,Western Europe
Ecuador,South America
Mongolia,Eastern Asia
Kyrgyzstan,Western Asia
Germany,Western Europe
Rwanda,Eastern Africa
China,Eastern Asia
Burundi,Eastern Africa
Slovak Republic,Eastern Europe
Bahamas,Caribbean
Poland,Eastern Europe
Iceland,Northern Europe
Papua New Guinea,Oceania
Burkina Faso,Western Africa
Venezuela,South America
Morocco,Northern Africa
Zimbabwe,Eastern Africa
Romania,Eastern Europe
Brazil,South America
Colombia,South America
Botswana,Southern Africa
Bulgaria,Eastern Europe
"Congo, Dem. Rep.",Middle Africa
Madagascar,Eastern Africa
India,Southern Asia
Togo,Western Africa
Benin,Western Africa
Luxembourg,Western Europe
Sudan,Northern Africa
Peru,South America
Afghanistan,Southern Asia
Egypt,Northern Africa
Portugal,Western Europe
Australia,Oceania
Cameroon,Middle Africa
Ukraine,Eastern Europe
"Congo, Rep.",Middle Africa
Jamaica,Caribbean
Chad,Middle Africa
Cyprus,Western Asia
France,Western Europe
Kazakhstan,Central Asia
Dominican Rep.,Caribbean
Tajikistan,Western Asia
Nepal,Southern Asia
Iran,Western Asia
Singapore,Southeast Asia
Slovenia,Western Europe
Belgium,Western Europe
Malaysia,Southeast Asia
New Zealand,Oceania
Niger,Western Africa
Sierra Leone,Western Africa
Honduras,Central America
Trinidad and Tobago,Caribbean
Djibouti,Eastern Africa
Guinea,Western Africa
Denmark,Western Europe
Algeria,Northern Africa
Belize,Central America
Hungary,Eastern Europe
Brunei,Southeast Asia
Myanmar,Southeast Asia
Bosnia and Herzegovina,Eastern Europe
Bahrain,Western Asia
Sweden,Western Europe
Uruguay,South America
Malawi,Southern Africa
Liberia,Western Africa
United Kingdom,Western Europe
Cote d'Ivoire,Western Africa
Jordan,Western Asia
Paraguay,South America
Libya,Northern Africa
Zambia,Eastern Africa
Vietnam,Southeast Asia
Indonesia,Southeast Asia
Turkmenistan,Western Asia
Lebanon,Western Asia
Philippines,Southeast Asia
Sri Lanka,Southern Asia
Czech Rep.,Eastern Europe
Bhutan,Southern Asia
United Arab Emirates,Western Asia
Qatar,Western Asia
Tunisia,Northern Africa
Guinea-Bissau,Western Africa
Nigeria,Western Africa
Timor-Leste,Southeast Asia
Netherlands,Western Europe
Greece,Western Europe
El Salvador,Central America
Chile,South America
Canada,Northern America
Laos,Southeast Asia
Latvia,Eastern Europe
Mexico,Northern America
Mauritius,Eastern Africa
Namibia,Southern Africa
Comoros,Eastern Africa
United States,Northern America
